#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
3U041,3320,12004,Sous del grup C2,8378.58,,8378.58,7198.92,7198.92
4U044,1511,12004,Sous del grup C2,8378.58,,8378.58,8211.59,8211.59
4U049,9208,12004,Sous del grup C2,1198.5,,1198.5,,
4U051,1320,12004,Sous del grup C2,647068.16,,647068.16,557436.87,557436.87
4U054,1640,12004,SOUS DEL GRUP C2,8378.58,,8378.58,8378.58,8378.58
2U019,9250,12005,Sous del grup E,15357.16,,15357.16,13748.31,13748.31
3U036,3200,12005,Sous del grup E,22443.88,,22443.88,20699.15,20699.15
3U036,3230,12005,Sous del Grup E.,,,,548.47,548.47
3U041,3320,12005,Sous del grup E,7678.58,,7678.58,9512.08,9512.08
3U041,3350,12005,Sous del Grup E.,,,,2653.71,2653.71
4U042,9200,12005,Sous del grup E,2958.95,,2958.95,,
1U008,9121,12006,Triennis,3973.0,,3973.0,3793.76,3793.76
1U009,9121,12006,Trienis,2339.7,,2339.7,2339.7,2339.7
1U014,4330,12006,Trienni,4626.97,,4626.97,4437.54,4437.54
1U015,4330,12006,Triennis,8904.57,,8904.57,6612.12,6612.12
1U016,4310,12006,triennis,996.0,,996.0,996.0,996.0
1U055,4320,12006,Triennis,866.34,,866.34,849.98,849.98
2U013,9209,12006,Triennis.,,,,342.03,342.03
2U017,9204,12006,Triennis,10848.8,,10848.8,9818.53,9818.53
2U018,9205,12006,Triennis,12280.1,,12280.1,9115.01,9115.01
2U019,9250,12006,Triennis,16381.17,,16381.17,14136.49,14136.49
2U020,9203,12006,Triennis,3950.94,,3950.94,2993.9,2993.9
2U021,9207,12006,Triennis,1379.1,,1379.1,1355.67,1355.67
2U022,9203,12006,Triennis,18522.37,,18522.37,13813.62,13813.62
2U023,9203,12006,Triennis,1943.52,,1943.52,1943.52,1943.52
2U024,9320,12006,Triennis,2948.13,,2948.13,3390.32,3390.32
2U026,9320,12006,Triennis,4695.36,,4695.36,6277.71,6277.71
2U027,9201,12006,Triennis,11904.07,,11904.07,10102.1,10102.1
2U028,9201,12006,Triennis,3181.78,,3181.78,2270.07,2270.07
2U029,9310,12006,Triennis,14578.42,,14578.42,9436.79,9436.79
2U061,9204,12006,Triennis,564.42,,564.42,564.42,564.42
2U067,9320,12006,Triennis,1297.04,,1297.04,,
3U031,9206,12006,Triennis,4695.34,,4695.34,4353.31,4353.31
3U032,2310,12006,Triennis.,,,,329.57,329.57
3U032,3230,12006,Triennis.,,,,1847.36,1847.36
3U033,2310,12006,Triennis,1748.95,,1748.95,2457.02,2457.02
3U033,2330,12006,Triennis,1767.43,,1767.43,1678.2,1678.2
3U036,3200,12006,Triennis,1842.0,,1842.0,865.93,865.93
3U036,3230,12006,Triennis.,,,,13.47,13.47
3U038,3221,12006,Triennis,3386.52,,3386.52,2205.06,2205.06
3U040,3410,12006,Triennis.,,,,35.63,35.63
3U041,3320,12006,Triennis,4572.57,,4572.57,4923.29,4923.29
3U041,3340,12006,Antiguitat,398.4,,398.4,398.4,398.4
4U042,1340,12006,Triennis,1186.14,,1186.14,1098.7,1098.7
4U042,9200,12006,Triennis,1186.14,,1186.14,1183.22,1183.22
4U043,1510,12006,Triennis,3908.29,,3908.29,3908.29,3908.29
4U044,1511,12006,Triennis,2587.77,,2587.77,2007.73,2007.73
4U045,1510,12006,Triennis,1403.82,,1403.82,1386.44,1386.44
4U045,1610,12006,Triennis,1240.45,,1240.45,1618.22,1618.22
4U046,1550,12006,Triennis,1693.26,,1693.26,1693.26,1693.26
4U049,1511,12006,Triennis,3611.82,,3611.82,2629.9,2629.9
4U049,1550,12006,Triennis.,,,,263.1,263.1
4U050,1330,12006,Triennis,4537.4,,4537.4,4524.61,4524.61
4U051,1320,12006,Triennis,158233.61,,158233.61,137196.26,137196.26
4U052,1620,12006,Triennis,4973.49,,4973.49,4973.49,4973.49
4U052,9200,12006,Triennis,5147.34,,5147.34,4764.87,4764.87
4U054,1640,12006,TRIENNIS,4709.4,,4709.4,4710.94,4710.94
9U003,9125,12006,Triennis,935.88,,935.88,935.88,935.88
9U058,9125,12006,Triennis,915.59,,915.59,872.94,872.94
9U060,3370,12006,Triennis.,,,,96.46,
1U008,9121,12100,Complement de destinació,4270.14,,4270.14,4868.7,4868.7
1U009,9121,12100,Complements de destinació,4899.02,,4899.02,4899.02,4899.02
1U014,4330,12100,Complement destí,9774.8,,9774.8,9774.82,9774.82
1U015,4330,12100,Complement de destinació,18967.2,,18967.2,15129.63,15129.63
