#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1U001,9120,10000,Retribucions basiques,552199.82,,552199.82,521761.79,521761.79
1U001,9120,10001,Retribucions per assistències,214083.19,,214083.19,203113.87,203113.87
,,,Òrgans de govern i personal directiu,766283.01,,766283.01,724875.66,724875.66
1U001,9120,11000,Retribucions Bàsiques,74991.0,,74991.0,67012.0,67012.0
1U005,9120,11000,Retribucions bàsiques,211499.82,,211499.82,198406.98,198406.98
1U005,9202,11000,Retribucions bàsiques.,55099.94,,55099.94,55099.94,55099.94
4U042,9200,11000,Retribucions bàsiques.,74999.96,,74999.96,74999.96,74999.96
9U002,9125,11000,Retribucions bàsiques,81250.96,,81250.96,81250.96,81250.96
,,,Personal eventual,497841.68,,497841.68,476769.84,476769.84
1U007,9121,12000,Sous del grup A1,14677.32,,14677.32,,
1U014,4390,12000,Salari Base A1,14677.32,,14677.32,14677.32,14677.32
1U058,9121,12000,Sous del Grup A1.,,,,14673.52,14673.52
2U017,9204,12000,Sous del grup A1,26419.18,,26419.18,11623.56,11623.56
2U020,9203,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
2U021,9207,12000,Sous del grup A1,14677.32,,14677.32,13380.28,13380.28
2U022,9203,12000,Sous del grup A1,70451.14,,70451.14,64958.0,64958.0
2U023,9203,12000,Sous del grup A1,14677.32,,14677.32,14673.52,14673.52
2U024,9320,12000,Sous del grup A1,14677.32,,14677.32,14196.73,14196.73
2U026,9320,12000,Sous del grup A1,3881.68,,3881.68,,
2U027,9201,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
2U029,9310,12000,Sous del grup A1,29354.64,,29354.64,29354.64,29354.64
2U061,9204,12000,Sous del Grup A1.,,,,14677.32,14677.32
3U038,3221,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
4U043,1512,12000,Sous del grup A1,29354.64,,29354.64,29347.04,29347.04
4U045,1610,12000,Sous del Grup A1.,,,,10126.42,10126.42
4U046,1552,12000,Sous del grup A1,14677.32,,14677.32,14640.35,14640.35
4U046,1610,12000,Retribucions bàsiques,14677.32,,14677.32,4436.2,4436.2
4U050,1551,12000,Sous del grup A1,14677.32,,14677.32,14673.52,14673.52
1U009,9121,12001,Sous del grup A2,12906.52,,12906.52,12842.59,12842.59
1U015,4330,12001,Sous grup A2,38719.56,,38719.56,37059.26,37059.26
1U016,4310,12001,Sous del Grup A2.,,12902.63,12902.63,12902.63,12902.63
1U055,3301,12001,Sous del grup A2,12906.52,-12902.63,3.89,,
1U055,4320,12001,Sous del grup A2,12906.52,,12906.52,12902.62,12902.62
2U016,4310,12001,Sous del grup A2,12906.52,,12906.52,,
2U017,9204,12001,Sous del grup A2,38719.56,,38719.56,38719.56,38719.56
2U019,9250,12001,Sous del grup A2,12906.52,,12906.52,5997.97,5997.97
2U024,9320,12001,Sous del grup A2,25813.04,,25813.04,23831.14,23831.14
2U027,9201,12001,Sous del grup A2,12906.52,,12906.52,10728.95,10728.95
2U029,9310,12001,Sous del grup A2,12906.52,,12906.52,12906.52,12906.52
3U033,2310,12001,Sous del grup A2,12906.52,,12906.52,12379.75,12379.75
3U033,2311,12001,Sous del grup A2,42681.05,,42681.05,14524.95,14524.95
3U033,2330,12001,Sous del grup A2,25813.04,,25813.04,24430.72,24430.72
3U041,3380,12001,Sous del grup A2,12906.52,,12906.52,7642.36,7642.36
4U042,9200,12001,Sous del Grup A2.,25813.04,,25813.04,25265.73,25265.73
4U044,1514,12001,Sous del grup A2,12906.52,,12906.52,6649.65,6649.65
4U045,1513,12001,Sous del grup A2,12906.52,,12906.52,12906.52,12906.52
4U051,1320,12001,Sous del grup A2,25813.04,,25813.04,25813.04,25813.04
4U052,1610,12001,Sous del grup A2,12906.52,,12906.52,12906.52,12906.52
4U052,1620,12001,Sous del grup A2,12906.52,,12906.52,12902.63,12902.63
9U003,9125,12001,Sous del grup A2,19707.24,,19707.24,12902.63,12902.63
