#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1U005,9120,10000,Retribucions regidors,552199.82,,552199.82,513636.66,513636.66
1U005,9120,10001,Retribucions regidors sense dedicació,213999.84,,213999.84,205659.13,205659.13
,,,Òrgans de govern i personal directiu,766199.66,,766199.66,719295.79,719295.79
1U005,9120,11000,Retribucions bàsiques,272999.92,,272999.92,229375.54,229375.54
1U005,9211,11000,Retribucions bàsiques,55099.93,,55099.93,51033.03,51033.03
1U008,9121,11000,Retribucions bàsiques.,,,,,
1U010,9122,11000,Retribucions bàsiques.,,,,,
1U014,4390,11000,Retribucions bàsiques.,,,,,
1U055,4320,11000,Retribucions bàsiques.,,,,,
3U031,9213,11000,Retribucions bàsiques,55099.94,,55099.94,19320.25,19320.25
4U042,9210,11000,Retribucions bàsiques,74583.29,,74583.29,69047.58,69047.58
4U049,9208,11000,Retribucions bàsiques.,,,,,
9U002,9125,11000,Retribucions bàsiques,80963.4,,80963.4,75159.76,75159.76
1U014,4390,11001,Retribucions complementàries.,,,,,
1U055,4320,11001,Retribucions complementàries.,,,,,
4U049,9208,11001,Retribucions complementàries.,,,,,
3U031,9213,1100201,Liquidació vacances personal eventual,,,,1344.7,1344.7
,,,Personal eventual,538746.48,,538746.48,445280.86,445280.86
1U006,4321,12000,Sous del grup A1,3918.64,,3918.64,,
1U007,9121,12000,Sous del grup A1,14677.32,,14677.32,13989.16,13989.16
1U014,4390,12000,Sous del Grup A1.,,,,4436.2,4436.2
1U015,4330,12000,Sous del Grup A1.,,,,,
1U055,4320,12000,Sous del Grup A1.,,,,,
2U015,4330,12000,Sous del grup A1,14677.32,,14677.32,9556.76,9556.76
2U017,9204,12000,Sous del grup A1,27043.59,,27043.59,24810.25,24810.25
2U020,9203,12000,Sous del grup A1,13340.15,,13340.15,12655.79,12655.79
2U021,9207,12000,Sous del grup A1,14677.32,,14677.32,13955.99,13955.99
2U022,9203,12000,Sous del grup A1,88063.9,,88063.9,69259.86,69259.86
2U023,9203,12000,Sous del grup A1,14677.32,,14677.32,13992.96,13992.96
2U024,9320,12000,Sous del grup A1,14677.32,,14677.32,13992.96,13992.96
2U026,9320,12000,Sous del grup A1,7761.24,,7761.24,,
2U027,9201,12000,Sous del grup A1,10551.76,,10551.76,8468.9,8468.9
2U029,9310,12000,Sous del grup A1,29354.64,,29354.64,27945.15,27945.15
3U038,3221,12000,Sous del grup A1,14677.32,,14677.32,13992.96,13992.96
4U043,1512,12000,Sous del grup A1,29354.64,,29354.64,27978.3,27978.3
4U044,1511,12000,Sous del grup A1,14677.32,,14677.32,3294.14,3294.14
4U045,1552,12000,Sous del grup A1,14677.32,,14677.32,4246.34,4246.34
4U046,1552,12000,Sous del grup A1,14677.32,,14677.32,10828.89,10828.89
4U046,1610,12000,Sous del Grup A1.,,,,4399.23,4399.23
4U046,9208,12000,Sous del Grup A1.,,,,,
4U049,1610,12000,Sous del Grup A1.,,,,,
4U049,9208,12000,Sous del Grup A1.,,,,,
4U050,1551,12000,Sous del grup A1,14677.32,,14677.32,13989.15,13989.15
4U052,1610,12000,Sous del grup A1,14677.32,,14677.32,9368.11,9368.11
1U006,4321,12001,Sous del grup A2,12906.52,,12906.52,12203.25,12203.25
1U009,3301,12001,Sous del grup A2,25813.02,,25813.02,24410.39,24410.39
