#Ingreso/Gasto,Capítulo,Artículo,Concepto,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden EHA/3565/2008 y comunes a todas las EELL.
# Ver http://www.boe.es/buscar/doc.php?id=BOE-A-2008-19916
I,4,2,3,"De Societats mercantils estatals, entitats públiques empresarials i altres organismes públics"
I,4,3,,De la seguretat social
I,4,4,,D'ens públics i societats mercantils de l'entitat local
I,4,4,0,D'ens públics
I,4,4,1,De societats mercantils
I,4,5,,De comunitats autònomes
I,4,5,0,De l'administració general de les comunitats autònomes
I,4,5,1,D'organismes autònoms i agències de les comunitats autònomes
I,4,5,2,De fundacions de les comunitats autònomes
I,4,5,3,"De Societats mercantils estatals, entitats públiques empresarials i altres organismes públics dependents de les comunitats autònomes"
I,4,6,,D'entitats locals
I,4,6,1,"De diputacions, consells o cabildos"
I,4,6,2,D'Ajuntaments
I,4,6,3,De mancomunitats
I,4,6,4,D'Àreas metropolitanes
I,4,6,5,De comarques
I,4,6,6,D'altres entitats que agrupen municipis
I,4,6,7,De consorcis
I,4,6,8,D'Entitats Locals menors
I,4,7,,D'empreses privades
I,4,8,,De famílies e institucions sense fins de lucre
I,4,8,9,De famílies e institucions sense fins de lucre
I,4,9,,De l'exterior
I,4,9,0,Del Fons Social Europeu
I,4,9,1,Del Fons de desenvolupament Regional
I,4,9,2,Del Fons de Cohesió
I,4,9,3,Del Fons Europeu Agrícola de garantia (FEAGA)
I,4,9,4,Del Fons Europeu Agrícola de Desenvolupament Rural
I,4,9,5,Del FEOGA-Orientació
I,4,9,6,Del Fons Europeu de la Pesca (FEP)
I,4,9,7,Altres transferències de la Unió Europea
I,4,9,9,"Altres transferències de l'exterior, exclosa l'Unió Europea"
I,5,,,Ingressos patrimonials
I,5,0,,Interessos de títols i valors
I,5,0,0,De l'Estat
I,5,0,1,D'Organismes autònoms i agencies
I,5,0,4,"De societats mercantils estatals, entitas públiques i altres organismes públics"
I,5,0,5,De comunitats autònomes
I,5,0,6,D'Entitats Locals
I,5,0,7,D'empreses privades
I,5,1,,Interessos de bestretes i préstecs concedits
I,5,1,1,D'organismes autònoms i agencies
I,5,1,4,"De societats mercantils, entitats públiques empresarials i altres organismes públics"
I,5,1,8,De famílies e institucions sense ànim de lucre
I,5,2,,Interessos de dipòsits
I,5,3,,Dividends i participació beneficis
I,5,3,1,D'organismes autònoms i agencies
I,5,3,4,"De societats mercantils, entitats públiques empresarials i altres organismes públics"
I,5,3,7,D'empreses privades
I,5,4,,Rendes de béns immobles
I,5,4,0,Rendes de béns immobles
I,5,4,1,Arrendaments de finques urbanes
I,5,4,2,Arrendaments de finques urbanes
I,5,4,4,Censos
I,5,4,9,Altres rendes de béns immobles
I,5,5,,Productes de concessions i aprofitaments especials
I,5,5,0,De concessions administratives amb contraprestació periódica
I,5,5,1,De concessions administratives amb contraprestació no periódica
I,5,5,2,Dret de superfície amb contraprestació periódica
I,5,5,3,Dret de superfície amb contraprestació no periódica
I,5,5,4,Aprofitaments agrícoles i forestals
I,5,5,5,Aprofitament especials amb contraprestació
I,5,5,9,Altres concessions i aprofitaments
I,5,9,,Altres ingressos patrimonials
I,5,9,1,Beneficis per realitzacions d'inversions financeres
I,5,9,2,Ingressos per operacions d'intercanvi financer
I,5,9,9,Altres ingressos patrimonials
I,6,,,Alienació d'inversions reals
I,6,0,,De terrenys
I,6,0,0,Venda de solars
I,6,0,1,Venda de finques rústiques
I,6,0,2,Parcel·les sobrants de la via pública
I,6,0,3,Patrimoni públic del sòl
I,6,0,9,Altres terrenys
I,6,1,,De les altres inversions reals
I,6,1,1,D'inversions de caràcter immaterial
I,6,1,2,D'objectes valuosos
I,6,1,9,D'altres inversions reals
I,6,8,,Reintegraments per operacions de capital
I,6,8,0,D'exercicis tancats
I,7,,,Transferències de capital
I,7,0,,De l'Administració General de l'entitat local
I,7,1,,D'Organismes autònoms de l'entitat local
I,7,2,,De l'Administració de l'Estat
I,7,2,0,De l'Administració General de l'Estat
I,7,2,1,D'Organismes Autònoms i agencies estatals
I,7,2,2,De fundacions estatals
I,7,2,3,"De societats mercantils estatals, entitats públiques empresarials i altres organismes públics"
I,7,3,,De la seguretat social
I,7,3,0,De la seguretat social
I,7,4,,D'ens públics i societats mercantils de l'entitat local
I,7,4,0,D'ens públics
