#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
6210,4330,12003,Sous del grup C1,10080.26,,10080.26,9884.82,9884.82
7120,3320,12003,Sous del grup C1,48385.38,,48385.38,46538.33,46538.33
2110,9204,12004,Sous del grup C2,27240.85,,27240.85,26735.21,26735.21
2130,9250,12004,Sous del grup C2,31880.1,,31880.1,30327.19,30327.19
2400,9201,12004,Sous del grup C2,16779.0,,16779.0,16336.34,16336.34
2410,9203,12004,Sous del grup C2,8389.5,,8389.5,7453.12,7453.12
3000,9210,12004,Sous del grup C2,8389.48,,8389.48,8251.58,8251.58
3110,1320,12004,Sous del grup C2,710289.14,,710289.14,622727.29,622128.04
3220,1552,12004,Sous del grup C2,8389.52,,8389.52,8378.6,8378.6
4110,2311,12004,Sous del grup C2,8389.5,,8389.5,8378.58,8378.58
5310,1511,12004,Sous del grup C2,8389.5,,8389.5,8278.71,8278.71
6300,4310,12004,Sous del grup C2,8244.31,,8244.31,,
2130,9250,12005,Sous del grup E,15357.18,,15357.18,15310.55,15310.55
3130,1620,12005,Sous del grup E,7678.58,,7678.58,6100.99,6100.99
4310,3200,12005,Sous del grup E,23035.74,,23035.74,15894.93,15894.93
7120,3320,12005,Sous del grup E,7678.56,,7678.56,7678.56,7678.56
1100,9121,12006,Triennis,6014.37,,6014.37,5820.82,5820.82
1200,1520,12006,Triennis,4420.08,,4420.08,4153.75,4153.75
1400,3301,12006,Triennis,556.32,,556.32,528.06,528.06
1600,4321,12006,Triennis,4420.08,,4420.08,4334.16,4334.16
2000,9210,12006,Triennis,737.38,,737.38,718.2,718.2
2110,9204,12006,Triennis,8533.23,,8533.23,7103.7,7103.7
2120,9205,12006,Triennis,11050.2,,11050.2,8181.93,8181.93
2130,9250,12006,Triennis,14079.3,,14079.3,13580.47,13580.47
2140,9207,12006,Triennis,847.7,,847.7,814.68,814.68
2210,9203,12006,Triennis,5126.53,,5126.53,4687.14,4687.14
2220,9203,12006,Triennis,12277.9,,12277.9,8989.25,8573.21
2230,1514,12006,Triennis,1066.25,,1066.25,1000.89,1000.89
2300,9320,12006,Triennis,2181.48,,2181.48,1996.22,1996.22
2310,9320,12006,Triennis,357.0,,357.0,357.0,357.0
2330,9320,12006,Triennis,8392.89,,8392.89,8199.27,8199.27
2400,9201,12006,Triennis,4592.34,,4592.34,4170.08,4170.08
2410,9203,12006,Triennis,2935.6,,2935.6,2605.96,2605.96
2500,9310,12006,Triennis,5373.9,,5373.9,5079.78,5079.78
2510,9310,12006,Triennis,8359.4,,8359.4,7901.88,7901.88
3000,9210,12006,Triennis,8377.35,,8377.35,7589.17,7589.17
3110,1320,12006,Triennis,169145.09,,169145.09,133732.79,133625.39
3120,1551,12006,Triennis,3683.4,,3683.4,3272.02,3272.02
3130,1620,12006,Triennis,1697.22,,1697.22,1348.52,1348.52
3130,1640,12006,Triennis,4314.84,,4314.84,4228.92,4228.92
3130,1720,12006,Triennis,737.38,,737.38,718.2,718.2
3200,9208,12006,Triennis,2255.4,,2255.4,2252.34,2252.34
3220,1552,12006,Triennis,5570.46,,5570.46,5240.8,5240.8
4110,2310,12006,Triennis,104.31,,104.31,94.89,94.89
4110,2311,12006,Triennis,2697.93,,2697.93,2596.57,2596.57
4110,2330,12006,Triennis,1857.23,,1857.23,1258.69,1258.69
4310,3120,12006,Triennis,4420.08,,4420.08,4334.16,4334.16
4310,3200,12006,Triennis,2545.83,,2545.83,905.4,905.4
4312,3221,12006,Triennis,2985.5,,2985.5,2822.1,2822.1
5000,1610,12006,Triennis,725.05,,725.05,669.02,669.02
5110,1512,12006,Triennis,5010.63,,5010.63,4823.82,4823.82
5200,1513,12006,Triennis,1917.09,,1917.09,1453.82,1453.82
5200,1552,12006,Triennis,1062.47,,1062.47,1128.84,1128.84
5300,1514,12006,Triennis,6293.37,,6293.37,5990.5,5990.5
5310,1511,12006,Triennis,9438.94,,9438.94,9217.99,9217.99
6210,4330,12006,Triennis,11628.06,,11628.06,11202.16,11202.16
6300,4310,12006,Triennis.,,,,344.13,344.13
7120,3320,12006,Triennis,3302.23,,3302.23,3172.55,3172.55
9101,9121,12006,Triennis,486.78,,486.78,467.94,467.94
1100,9121,12100,Complement de destinació,20822.76,,20822.76,20797.89,20797.89
1200,1520,12100,Complement de destinació,4270.14,,4270.14,4160.51,4160.51
1400,3301,12100,Complement de destinació,6155.8,,6155.8,6155.8,6155.8
1600,4321,12100,Complement de destinació,21451.64,,21451.64,20481.39,20481.39
2000,9210,12100,Complement de destinació,4899.02,,4899.02,4899.02,4899.02
2110,9204,12100,Complement de destinació,50186.56,,50186.56,45796.61,45796.61
2115,9204,12100,Complement de destinació.,,,,186.63,186.63
2120,9205,12100,Complement de destinació,18966.36,,18966.36,15091.99,15091.99
2130,9250,12100,Complement de destinació,36613.92,,36613.92,35696.42,35696.42
2140,9207,12100,Complement de destinació,7137.76,,7137.76,7137.76,7137.76
2200,9203,12100,Complement de destinació,8636.15,,8636.15,,
2210,9203,12100,Complement de destinació,24501.54,,24501.54,18293.07,18293.07
2220,9203,12100,Complement de destinació,27838.02,,27838.02,20486.72,17869.54
2230,1514,12100,Complement de destinació,7137.76,,7137.76,7137.76,7137.76
2300,9320,12100,Complement de destinació,15923.74,,15923.74,15923.74,15923.74
2310,9320,12100,Complement de Destinació,9798.04,,9798.04,9763.05,9763.05
